Nome,PaperRollSize,N_Tagli,numero Colonne,Errore Assoluto RoundUp,Errore Relativo RoundUp,Errore Assoluto branch,Errore Relativo branch,Tempo generazione Colonne,Tempo Soluzione migliorata,Tempo Terminazione Algoritmo,soluzione rilassamento,soluzione Ottima,soluzioneTrovata,soluzione ottimo dal RoundUp
Falkenauer_u120_15.txt,150,63,157,22.0,2.0,0.4583333333333333,0.041666666666666664,4543,158184,394932,47.384057971014485,48.0,50.0,70,
Falkenauer_u250_06.txt,150,78,227,29.0,29.0,0.28431372549019607,0.28431372549019607,10360,366051,366051,101.02666666666669,102.0,131,131,
Falkenauer_u250_12.txt,150,76,222,18.0,0.0,0.16981132075471697,0.0,2933,44334,395672,104.9771622934888,106.0,106.0,124,
Falkenauer_u250_04.txt,150,76,213,26.0,26.0,0.25742574257425743,0.25742574257425743,8037,421546,421546,100.61333333333332,101.0,127,127,
Falkenauer_u250_10.txt,150,77,216,23.0,23.0,0.21904761904761905,0.21904761904761905,7259,345490,345490,104.39115646258506,105.0,128,128,
Falkenauer_u1000_12.txt,150,81,179,21.0,21.0,0.05343511450381679,0.05343511450381679,2752,356757,356757,392.24,393.0,414,414,
Falkenauer_u120_03.txt,150,68,192,22.0,0.0,0.44,0.0,2624,55230,404273,48.62307692307692,50.0,50.0,72,
Falkenauer_u120_17.txt,150,64,214,2.0,0.0,0.038461538461538464,0.0,2941,3994,377029,51.5,52.0,52.0,54,
Falkenauer_u1000_06.txt,150,81,183,28.0,28.0,0.0707070707070707,0.0707070707070707,2616,340213,340213,394.20666666666665,396.0,424,424,
Falkenauer_u120_16.txt,150,64,229,13.0,0.0,0.25,0.0,2697,5687,352885,51.33333333333334,52.0,52.0,65,
Falkenauer_u1000_07.txt,150,81,215,25.0,25.0,0.06188118811881188,0.06188118811881188,3166,397010,397010,403.15999999999985,404.0,429,429,
Falkenauer_u1000_13.txt,150,81,219,25.0,25.0,0.06313131313131314,0.06313131313131314,3699,434107,434107,395.27333333333337,396.0,421,421,
Falkenauer_u120_02.txt,150,61,158,22.0,1.0,0.4782608695652174,0.021739130434782608,1928,79627,402786,45.29333333333334,46.0,47.0,68,
Falkenauer_u250_11.txt,150,80,271,24.0,24.0,0.23529411764705882,0.23529411764705882,4973,408303,408303,100.71333333333334,102.0,126,126,
Falkenauer_u250_05.txt,150,78,230,23.0,23.0,0.22772277227722773,0.22772277227722773,4037,342725,342725,100.82666666666663,101.0,124,124,
Falkenauer_u250_01.txt,150,78,238,29.0,29.0,0.29,0.29,3370,439489,439489,99.02666666666669,100.0,129,129,
Falkenauer_u250_15.txt,150,78,265,21.0,0.0,0.2,0.0,5306,61758,346638,104.86111111111111,105.0,105.0,126,
Falkenauer_u120_06.txt,150,65,223,24.0,0.0,0.4897959183673469,0.0,2570,157002,346542,47.580000000000005,49.0,49.0,73,
Falkenauer_u1000_17.txt,150,81,229,26.0,26.0,0.06435643564356436,0.06435643564356436,4056,344610,344610,403.8,404.0,430,430,
Falkenauer_u1000_03.txt,150,81,219,27.0,27.0,0.06569343065693431,0.06569343065693431,3458,386518,386518,410.8666666666667,411.0,438,438,
Falkenauer_u120_12.txt,150,63,160,25.0,25.0,0.5102040816326531,0.5102040816326531,1977,329421,329421,47.86666666666667,49.0,74,74,
Falkenauer_u1000_02.txt,150,81,240,23.0,23.0,0.05596107055961071,0.05596107055961071,3900,387105,387105,410.19999999999993,411.0,434,434,
Falkenauer_u120_13.txt,150,62,161,21.0,21.0,0.42857142857142855,0.42857142857142855,1516,356680,356680,48.01333333333334,49.0,70,70,
Falkenauer_u120_07.txt,150,64,165,18.0,0.0,0.36,0.0,1666,62306,359690,48.656462585034014,50.0,50.0,68,
Falkenauer_u1000_16.txt,150,81,213,27.0,27.0,0.06683168316831684,0.06683168316831684,2988,361959,361959,403.02666666666676,404.0,431,431,
Falkenauer_u250_14.txt,150,79,248,24.0,24.0,0.24,0.24,5544,384683,384683,99.1666666666667,100.0,124,124,
Falkenauer_u250_00.txt,150,71,189,22.0,22.0,0.2222222222222222,0.2222222222222222,3431,414897,414897,98.55333333333336,99.0,121,121,
Falkenauer_u250_16.txt,150,76,199,26.0,26.0,0.26804123711340205,0.26804123711340205,4063,362760,362760,96.51333333333332,97.0,123,123,
Falkenauer_u250_02.txt,150,76,238,20.0,0.0,0.19607843137254902,0.0,5491,233799,330331,101.42176870748297,102.0,102.0,122,
