Nome,PaperRollSize,N_Tagli,numero Colonne,Errore Assoluto RoundUp,Errore Relativo RoundUp,Errore Assoluto branch,Errore Relativo branch,Tempo generazione Colonne,Tempo Soluzione migliorata,Tempo Terminazione Algoritmo,soluzione rilassamento,soluzione Ottima,soluzioneTrovata,soluzione ottimo dal RoundUp
Falkenauer_t249_07.txt,1000,137,941,61.0,61.0,0.7176470588235294,0.7176470588235294,60372,319886,319886,82.99999999999997,85.0,146,146,
Falkenauer_t120_09.txt,1000,85,368,44.0,44.0,1.0731707317073171,1.0731707317073171,7645,341567,341567,39.99999999999999,41.0,85,85,
Falkenauer_t249_13.txt,1000,141,902,64.0,64.0,0.7619047619047619,0.7619047619047619,62148,329540,329540,82.99999999999997,84.0,148,148,
Falkenauer_t249_12.txt,1000,141,808,63.0,63.0,0.7411764705882353,0.7411764705882353,50873,332431,332431,83.00000000000001,85.0,148,148,
Falkenauer_t249_06.txt,1000,138,588,63.0,63.0,0.75,0.75,30755,352882,352882,83.00000000000001,84.0,147,147,
Falkenauer_t120_08.txt,1000,86,374,46.0,46.0,1.1219512195121952,1.1219512195121952,9063,366619,366619,40.0,41.0,87,87,
Falkenauer_t501_19.txt,1000,192,863,73.0,73.0,0.4319526627218935,0.4319526627218935,80535,323374,323374,167.00000000000009,169.0,242,242,
Falkenauer_t249_10.txt,1000,140,680,65.0,65.0,0.7738095238095238,0.7738095238095238,36671,344304,344304,82.99999999999997,84.0,149,149,
Falkenauer_t249_04.txt,1000,134,569,58.0,58.0,0.6823529411764706,0.6823529411764706,27080,329893,329893,83.00000000000001,85.0,143,143,
Falkenauer_t249_05.txt,1000,145,599,66.0,66.0,0.7857142857142857,0.7857142857142857,30990,348508,348508,82.99999999999997,84.0,150,150,
Falkenauer_t249_11.txt,1000,141,782,57.0,57.0,0.6785714285714286,0.6785714285714286,50549,331217,331217,83.00000000000003,84.0,141,141,
Falkenauer_t501_18.txt,1000,193,985,76.0,76.0,0.4523809523809524,0.4523809523809524,113056,326008,326008,166.99999999999991,168.0,244,244,
Falkenauer_t501_08.txt,1000,196,981,76.0,76.0,0.4523809523809524,0.4523809523809524,138531,313634,313634,167.00000000000009,168.0,244,244,
Falkenauer_t249_15.txt,1000,142,663,69.0,69.0,0.8214285714285714,0.8214285714285714,38463,336290,336290,83.0,84.0,153,153,
Falkenauer_t249_01.txt,1000,140,665,63.0,63.0,0.75,0.75,37994,329882,329882,83.00000000000004,84.0,147,147,
Falkenauer_t249_00.txt,1000,134,638,57.0,57.0,0.6785714285714286,0.6785714285714286,32159,363294,363294,83.0,84.0,141,141,
Falkenauer_t249_14.txt,1000,145,640,66.0,66.0,0.7857142857142857,0.7857142857142857,40600,346629,346629,83.00000000000003,84.0,150,150,
Falkenauer_t501_09.txt,1000,189,799,70.0,70.0,0.4117647058823529,0.4117647058823529,69241,332536,332536,167.00000000000003,170.0,240,240,
Falkenauer_t249_02.txt,1000,139,947,61.0,61.0,0.7261904761904762,0.7261904761904762,64660,322175,322175,82.99999999999997,84.0,145,145,
Falkenauer_t249_16.txt,1000,144,698,67.0,67.0,0.7976190476190477,0.7976190476190477,40038,329296,329296,83.00000000000001,84.0,151,151,
Falkenauer_t120_18.txt,1000,85,530,46.0,46.0,1.1219512195121952,1.1219512195121952,13321,360046,360046,40.0,41.0,87,87,
Falkenauer_t249_17.txt,1000,145,764,66.0,66.0,0.7857142857142857,0.7857142857142857,45955,330690,330690,82.99999999999999,84.0,150,150,
Falkenauer_t120_19.txt,1000,87,475,44.0,44.0,1.0731707317073171,1.0731707317073171,12549,355337,355337,40.000000000000014,41.0,85,85,
Falkenauer_t249_03.txt,1000,142,743,61.0,61.0,0.7261904761904762,0.7261904761904762,44666,327010,327010,83.0,84.0,145,145,
Falkenauer_t60_08.txt,1000,49,212,1.0,0.0,0.05,0.0,1669,1675,1677,19.99999999999985,20.0,20.0,21,
Falkenauer_t60_09.txt,1000,49,240,0.0,0.0,0.0,0.0,1952,1953,1953,20.0,20.0,20,20,
Falkenauer_t60_19.txt,1000,51,280,0.0,0.0,0.0,0.0,2687,2688,2688,20.0,20.0,20,20,
